Gene	cluster
Osbp2	Drd2-MSN
Bcl11a	Drd2-MSN
Cdh12	Drd2-MSN
Greb1l	Drd2-MSN
Cacna1c	Drd2-MSN
Chsy3	Drd2-MSN
Pdp1	Drd2-MSN
Kcnn3	Drd2-MSN
Cacna1i	Drd2-MSN
Dclk3	Drd2-MSN
Lpcat2	Drd2-MSN
Lrrtm4	Drd2-MSN
Fat3	Drd2-MSN
Dgkg	Drd2-MSN
Kirrel3	Drd2-MSN
Rasd2	Drd2-MSN
AABR07035946.1	Drd2-MSN
Lmo3	Drd2-MSN
LOC679342	Drd2-MSN
Cbr3	Drd2-MSN
Pitpnm3	Drd2-MSN
Dnmbp	Drd2-MSN
Acvr1c	Drd2-MSN
AABR07031533.1	Drd2-MSN
Ptchd4	Drd2-MSN
Dync1i1	Drd2-MSN
Crym	Drd2-MSN
Lrfn5	Drd2-MSN
Ptchd1	Drd2-MSN
Cers6	Drd2-MSN
Mei4	Drd2-MSN
Kif28p	Drd2-MSN
Mme	Drd2-MSN
Slc8a3	Drd2-MSN
Slc2a13	Drd2-MSN
Sorbs1	Drd2-MSN
Msra	Drd2-MSN
LOC100361087	Drd2-MSN
Jph1	Drd2-MSN
Tmem132d	Drd2-MSN
Mgll	Drd2-MSN
Pcdh17	Drd2-MSN
Pcp4l1	Drd2-MSN
Rbms1	Drd2-MSN
Ephx4	Drd2-MSN
Jcad	Drd2-MSN
Slc7a14	Drd2-MSN
Epb41l2	Drd2-MSN
Man1c1	Drd2-MSN
Lrrc8c	Drd2-MSN
Rbms3	Drd2-MSN
Pde4a	Drd2-MSN
Ano6	Drd2-MSN
Hrh3	Drd2-MSN
Cdh7	Drd2-MSN
Fstl5	Drd2-MSN
Lzts1	Drd2-MSN
Ajap1	Drd2-MSN
AABR07034767.1	Drd2-MSN
Camk1d	Drd2-MSN
Rims1	Drd2-MSN
LOC103690141	Drd2-MSN
Zdhhc2	Drd2-MSN
AABR07059679.2	Drd2-MSN
AABR07033184.1	Drd2-MSN
Trim9	Drd2-MSN
Pcp4	Drd2-MSN
Man2a1	Drd2-MSN
Khdrbs2	Drd2-MSN
Gpr155	Drd2-MSN
Dclk1	Drd2-MSN
Arhgef3	Drd2-MSN
Grip1	Drd2-MSN
March4	Drd2-MSN
Kremen1	Drd2-MSN
Ptprn	Drd2-MSN
Pdgfc	Drd2-MSN
Slc12a3	Drd2-MSN
Rgs17	Drd2-MSN
Nmnat2	Drd2-MSN
Sorcs3	Drd2-MSN
Rit2	Drd2-MSN
AABR07011857.2	Drd2-MSN
Eif2ak2	Drd2-MSN
Tbc1d16	Drd2-MSN
Tesc	Drd2-MSN
Foxo1	Drd2-MSN
Peli1	Drd2-MSN
LOC102547949	Drd2-MSN
Cabp1	Drd2-MSN
Atrnl1	Drd2-MSN
AABR07056118.1	Drd2-MSN
Gcnt2	Drd2-MSN
Sgcd	Drd2-MSN
Rimbp2	Drd2-MSN
Gpr63	Drd2-MSN
Efna5	Drd2-MSN
Sh3pxd2a	Drd2-MSN
AABR07066379.1	Drd2-MSN
Grb10	Drd2-MSN
Npl	Drd2-MSN
Scfd2	Drd2-MSN
Tbc1d9	Drd2-MSN
AABR07060620.1	Drd2-MSN
Art3	Drd2-MSN
Xkr4	Drd2-MSN
Gpc6	Drd2-MSN
Trpc5	Drd2-MSN
Arhgap6	Drd2-MSN
Rab27b	Drd2-MSN
Ptprr	Drd2-MSN
Cartpt	Drd2-MSN
LOC100362814	Drd2-MSN
Rerg	Drd2-MSN
Serpini1	Drd2-MSN
Prkcg	Drd2-MSN
Stum	Drd2-MSN
AABR07058158.1	Drd2-MSN
Frmd6	Drd2-MSN
Myo5b	Drd2-MSN
Sh3bgrl2	Drd2-MSN
AABR07016674.1	Drd2-MSN
Shank2	Drd2-MSN
Cdc14b	Drd2-MSN
R3hdm1	Drd2-MSN
Samd5	Drd2-MSN
Gap43	Drd2-MSN
AABR07056633.1	Drd2-MSN
AABR07056953.1	Drd2-MSN
Zdbf2	Drd2-MSN
Acvr2a	Drd2-MSN
Tenm3	Drd2-MSN
Lamc1	Drd2-MSN
Fam19a2	Drd2-MSN
Tiam1	Drd2-MSN
March11	Drd2-MSN
Far2	Drd2-MSN
AABR07060133.1	Drd2-MSN
AABR07027979.1	Drd2-MSN
Ahi1	Drd2-MSN
Spred2	Drd2-MSN
Tll1	Drd2-MSN
Scn4b	Drd2-MSN
Traip	Drd2-MSN
Cadm2	Drd2-MSN
Myo5c	Drd2-MSN
Iqgap1	Drd2-MSN
Mrap2	Drd2-MSN
March1	Drd2-MSN
AABR07051892.1	Drd2-MSN
Cpeb3	Drd2-MSN
