gene	cell_type	Direction
Kif22	MSN_Grm8+_1	UpReg
Kifap3	MSN_Grm8+_1	UpReg
Lgmn	MSN_Grm8+_1	UpReg
Lrtm1	MSN_Grm8+_1	UpReg
Ndn	MSN_Grm8+_1	UpReg
Ndufa4	MSN_Grm8+_1	UpReg
Nedd4	MSN_Grm8+_1	UpReg
Nfia	MSN_Grm8+_1	UpReg
Olfm1	MSN_Grm8+_1	UpReg
Pak7	MSN_Grm8+_1	UpReg
Pde1a	MSN_Grm8+_1	UpReg
Pex5l	MSN_Grm8+_1	UpReg
Prkg1	MSN_Grm8+_1	UpReg
Rnf169	MSN_Grm8+_1	UpReg
Spin1	MSN_Grm8+_1	UpReg
Tceal9	MSN_Grm8+_1	UpReg
Timp2	MSN_Grm8+_1	UpReg
Tm2d3	MSN_Grm8+_1	UpReg
Tmem132a	MSN_Grm8+_1	UpReg
Wbp4	MSN_Grm8+_1	UpReg
Ywhaq	MSN_Grm8+_1	UpReg
Adarb2	Interneurons_Pnoc+	UpReg
Apoe	Interneurons_Pnoc+	UpReg
Arhgap22	Interneurons_Pnoc+	UpReg
Atp5o	Interneurons_Pnoc+	UpReg
Atp6v0c	Interneurons_Pnoc+	UpReg
Cacna2d3	Interneurons_Pnoc+	UpReg
Cdh8	Interneurons_Pnoc+	UpReg
Clu	Interneurons_Pnoc+	UpReg
Cntnap2	Interneurons_Pnoc+	UpReg
Dcc	Interneurons_Pnoc+	UpReg
Dnajb11	Interneurons_Pnoc+	UpReg
Dscaml1	Interneurons_Pnoc+	UpReg
Erbb4	Interneurons_Pnoc+	UpReg
Fth1	Interneurons_Pnoc+	UpReg
Gabrb2	Interneurons_Pnoc+	UpReg
Gm10135	Interneurons_Pnoc+	UpReg
Gmds	Interneurons_Pnoc+	UpReg
Gpc6	Interneurons_Pnoc+	UpReg
Gprin3	Interneurons_Pnoc+	UpReg
Grid2	Interneurons_Pnoc+	UpReg
Grik1	Interneurons_Pnoc+	UpReg
Grik2	Interneurons_Pnoc+	UpReg
Itm2b	Interneurons_Pnoc+	UpReg
Kifap3	Interneurons_Pnoc+	UpReg
Lama3	Interneurons_Pnoc+	UpReg
Lhx6	Interneurons_Pnoc+	UpReg
Lrrc4c	Interneurons_Pnoc+	UpReg
Lrtm1	Interneurons_Pnoc+	UpReg
Lsamp	Interneurons_Pnoc+	UpReg
